atleta,categoria,nivel,serie,colocacao
Matheus (Nacional),misto,intermediario,ouro,1
Mari Brito (Nacional),misto,intermediario,ouro,1
Guilherme Lima,misto,intermediario,ouro,2
Juliana Laguna,misto,intermediario,ouro,2
Karina Ono,misto,intermediario,bronzinho,1
Paulo Henrique,misto,intermediario,bronzinho,1
Fernanda Coelho,misto,iniciante,ouro,1
Renan,misto,iniciante,ouro,1
Ana Foto,feminino,iniciante,ouro,4
Bia (Litoral),feminino,iniciante,ouro,4
Gabriel Ferrari,masculino,intermediario,prata,2
João Vitor,masculino,intermediario,prata,2
Exemplo Participacao,misto,intermediario,participacao,
